Feature,Importance
atemp,0.15571468172514627
hr_17,0.09315057015430062
hum,0.07476454767247069
hr_18,0.07433627689969632
hr_8,0.06055595596955301
temp,0.054746299963892714
yr_1,0.04286263212671993
workingday_0,0.038485363496682655
yr_0,0.03802095343938143
workingday_1,0.034463734809877314
hr_19,0.030314927059425605
hr_7,0.018353499121931006
hr_16,0.015379627801576009
hr_2,0.014537853471450422
hr_1,0.01433382029508405
hr_0,0.013405267574275388
hr_4,0.013224047245889827
hr_9,0.013053256198433482
windspeed,0.012936820643819735
hr_3,0.01272384250182318
is_weekend_1,0.012643256634959885
season_1,0.012191063460346525
hr_20,0.011893588094598027
hr_5,0.011505575473545318
is_weekend_0,0.010886964236845313
season_4,0.010688898991436414
weathersit_3,0.010588066252731253
hr_23,0.009948140796102211
hr_6,0.007188841165147176
hr_22,0.005718282383298567
hr_21,0.005651201972099741
hr_10,0.0051335136204436384
hr_12,0.0045574675205464835
weekday_5,0.0040566524752784165
hr_11,0.003876759945534961
hr_13,0.0035264698066962957
mnth_10,0.003196754852588296
weekday_6,0.0030042725795657154
hr_14,0.0028470990070484387
hr_15,0.0026500073960604963
mnth_12,0.002489584845746088
mnth_9,0.0024891508270089495
weekday_0,0.002432523603357763
weathersit_1,0.0022847681279014416
mnth_7,0.0021400081352409193
mnth_4,0.0016987704564148211
season_2,0.0016263561453623522
mnth_3,0.0015987184911958594
weekday_1,0.001547081814244983
season_3,0.0014571440568556515
mnth_11,0.0014450981040068133
mnth_5,0.0014368062463501943
weathersit_2,0.001411133781715732
mnth_6,0.0013983223242543452
weekday_4,0.0013303662849152495
weekday_2,0.0013248437915140607
weekday_3,0.001232935039372156
mnth_8,0.0009579057858710375
mnth_2,0.0006932011566531586
mnth_1,0.0006658011731898124
holiday_1,0.0006162405913525532
holiday_0,0.0006046438027398275
weathersit_4,1.7405784335061936e-06
